Sample_Name,Run,Donor,Treatment,Timepoint,Cellranger_counts_h5,Dropped
Vingi_WT_100ng_rep1_day3,A,D197,Vingi WT 100ng,day3,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0381_AHT2KTDSXF/Vingi_WT_100ng_rep1_day3/outs/molecule_info.h5,
Vingi_WT_100ng_rep2_day3,A,D197,Vingi WT 100ng,day3,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0381_AHT2KTDSXF/Vingi_WT_100ng_rep2_day3/outs/molecule_info.h5,
Vingi_WT_100ng_rep3_day3,B,D197,Vingi WT 100ng,day3,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0382_BHFKT2DMX2/Vingi_WT_100ng_rep3_day3/outs/molecule_info.h5,
Vingi_WT_100ng_rep1_day4,A,D197,Vingi WT 100ng,day4,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0381_AHT2KTDSXF/Vingi_WT_100ng_rep1_day4/outs/molecule_info.h5,
Vingi_WT_100ng_rep2_day4,A,D197,Vingi WT 100ng,day4,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0381_AHT2KTDSXF/Vingi_WT_100ng_rep2_day4/outs/molecule_info.h5,
Vingi_WT_100ng_rep3_day4,B,D197,Vingi WT 100ng,day4,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0382_BHFKT2DMX2/Vingi_WT_100ng_rep3_day4/outs/molecule_info.h5,
Vingi_WT_100ng_rep1_day10,A,D197,Vingi WT 100ng,day10,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0381_AHT2KTDSXF/Vingi_WT_100ng_rep1_day10/outs/molecule_info.h5,
Vingi_WT_100ng_rep2_day10,A,D197,Vingi WT 100ng,day10,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0381_AHT2KTDSXF/Vingi_WT_100ng_rep2_day10/outs/molecule_info.h5,
Vingi_WT_100ng_rep3_day10,B,D197,Vingi WT 100ng,day10,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0382_BHFKT2DMX2/Vingi_WT_100ng_rep3_day10/outs/molecule_info.h5,
Vingi_EndoNuc-neg_RevTran-neg_100ng_rep1_day3,A,D197,Vingi EN- RT- 100ng,day3,/efs/dzhang/analysis/cellranger/03_10_26_cell_ranger_TK060_scRNAseq/results/260309_A02008_0381_AHT2KTDSXF/Vingi_EndoNuc-neg_RevTran-neg_100ng_rep1_day3/outs/molecule_info.h5,
